"Treat" "tot04" "tot08" "tot12" "adt04" "adt08" "adt12" "length" "width" "speed" "shoulder" "driveways" "intersections" "curves" "curvature"
"83" 0 0 0 1 1334 1358 1378.66666666667 0.581 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"84" 0 1 3 0 1334 1358 1378.66666666667 0.752 "<= 20" "Low" "<= 3" "> 0 and <= 10" ">= 1" "None" 0
"85" 0 0 0 0 3231 2108 1794.33333333333 0.602 "> 20 and < 24" "Low" "<= 3" "> 10" ">= 1" "None" 0
"86" 0 0 1 0 2336 2132 2452.33333333333 0.757 ">= 24" "Low" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 7.57677
"87" 0 1 2 0 3765 3929 4123.16666666667 0.386 ">= 24" "Low" "<= 3" "> 10" ">= 1" "None" 0
"88" 0 0 1 0 2333 2187 2355 0.668 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 1.00541
"89" 0 1 0 0 1628 1585 1431.66666666667 0.321 "> 20 and < 24" "High" "> 6" "> 0 and <= 10" "None" ">= 1" 5.03921
"90" 0 0 0 2 1628 1585 1431.66666666667 0.664 "> 20 and < 24" "High" "> 3 and <= 6" "None" ">= 1" ">= 1" 4.36201
"91" 0 0 1 1 1628 1585 1431.66666666667 0.648 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 2.35507
"92" 0 0 1 0 3137 3365 3367.33333333333 0.25 ">= 24" "Low" "<= 3" "> 0 and <= 10" ">= 1" "None" 0
"93" 0 0 0 2 5238 4836 4139.66666666667 0.403 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 33.9105
"94" 0 2 0 0 5238 4836 4139.66666666667 0.472 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 3.70426
"95" 0 0 0 1 4672 3916 3411 0.611 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 7.32344
"96" 0 0 0 0 4672 3916 3411 0.625 ">= 24" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 6.626
"97" 0 0 0 0 4672 3916 3411 0.436 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 4.84798
"98" 0 0 0 0 4672 3916 3411 0.632 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 3.91634
"99" 0 1 0 0 4672 3916 3411 0.214 ">= 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 2.30814
"100" 0 0 0 0 4672 3916 3411 0.299 ">= 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 4.39283
"101" 0 0 1 0 4672 3916 3411 0.363 ">= 24" "Low" "<= 3" "> 10" "None" ">= 1" 9.97394
"102" 0 1 0 0 2560 2469 2171.33333333333 0.197 ">= 24" "Low" "<= 3" "> 10" ">= 1" ">= 1" 9.60432
"103" 0 0 1 0 1741 1728 1714.83333333333 0.348 "> 20 and < 24" "High" "<= 3" "> 0 and <= 10" ">= 1" "None" 0
"104" 0 0 0 0 2564 946 832.333333333333 0.318 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 6.29297
"105" 0 0 0 0 2564 946 832.333333333333 0.481 ">= 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 1.72383
"106" 0 0 0 0 2564 946 832.333333333333 0.511 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" "None" 0
"107" 0 0 1 0 2564 946 832.333333333333 0.37 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 2.6241
"108" 0 0 1 0 2564 946 832.333333333333 0.643 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 4.1331
"109" 0 0 0 0 2564 946 832.333333333333 0.558 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" "None" 0
"110" 0 0 1 0 2564 946 832.333333333333 0.185 "<= 20" "Low" "<= 3" "> 10" "None" "None" 0
"111" 0 0 1 0 3135 2060 1597.83333333333 0.176 ">= 24" "Low" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 1.37715
"112" 0 1 0 0 3315 3593 3739 0.417 ">= 24" "High" "> 6" "None" "None" ">= 1" 2.40481
"113" 0 1 0 0 3764 3928 3796.33333333333 0.496 ">= 24" "High" "> 6" "> 0 and <= 10" ">= 1" ">= 1" 13.7061
"114" 0 0 0 0 1006 1604 1420.66666666667 0.38 "<= 20" "High" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 7.46673
"115" 0 0 0 0 977 898 844.333333333333 0.529 "<= 20" "High" "<= 3" "> 10" ">= 1" ">= 1" 5.48961
"116" 0 0 1 1 977 898 844.333333333333 0.624 "<= 20" "High" "<= 3" "> 10" "None" ">= 1" 10.3161
"117" 0 0 0 0 977 898 844.333333333333 0.596 "<= 20" "High" "<= 3" "> 10" "None" ">= 1" 6.53576
"118" 0 0 1 0 977 898 844.333333333333 0.581 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 4.25496
